Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,30.7,32.8,29.7,30.92,"166,897",30.92,450,"5,234,539.60",-1.5,-4.63
2014-06-18,35.8,35.8,32.4,32.42,"135,355",32.42,394,"4,501,979.70",-3.58,-9.94
2014-06-17,38.3,38.5,36,36,"104,177",36,518,"3,919,236.00",-2.33,-6.08
2014-06-16,38,38.5,37.8,38.33,"70,648",38.33,208,"2,694,447.25",-0.84,-2.14
2014-06-15,39.3,39.8,38.7,39.17,"109,674",39.17,348,"4,320,296.00",0.5,1.29
2014-06-12,39.2,40.7,37.7,38.67,"183,187",38.67,414,"7,101,109.00",-1.33,-3.33
2014-06-11,42.9,42.9,39.3,40,"251,375",40,562,"10,185,893.75",-3.75,-8.57
2014-06-10,43.3,44.4,42.7,43.75,"135,043",43.75,338,"5,910,839.75",0.42,0.97
2014-06-09,44.2,44.4,43.3,43.33,"144,580",43.33,295,"6,308,031.25",-1.25,-2.8
2014-06-08,45.4,45.6,44.6,44.58,"218,398",44.58,588,"9,875,860.25",-0.84,-1.85
2014-06-05,44.2,45.4,44,45.42,"122,500",45.42,339,"5,460,465.75",1.25,2.83
2014-06-04,45,45.4,44.2,44.17,"98,005",44.17,359,"4,384,632.50",-2.29,-4.93
2014-06-03,46.3,46.7,44.6,46.46,"337,795",46.46,795,"15,475,707.50",0.83,1.82
2014-06-02,45.6,47.1,45.4,45.63,"525,234",45.63,"1,044","24,173,105.00",0.21,0.46
2014-06-01,44.4,46.3,44.4,45.42,"265,897",45.42,768,"12,150,070.75",0.21,0.46
2014-05-29,46.3,47.1,44.6,45.21,"342,880",45.21,782,"15,766,357.75",-1.46,-3.13
2014-05-28,45.4,47.1,44.8,46.67,"388,036",46.67,686,"17,975,896.00",2.29,5.16
2014-05-27,42.7,44.4,41.7,44.38,"540,634",44.38,815,"23,429,598.75",2.3,5.47
2014-05-26,38.3,42.1,38,42.08,"483,395",42.08,911,"19,631,715.00",2.75,6.99
2014-05-25,40.3,40.3,36.2,39.33,"415,759",39.33,575,"15,493,559.25",-0.84,-2.09
2014-05-22,40,41.2,39.3,40.17,"120,469",40.17,343,"4,848,266.00",0.34,0.85
2014-05-21,40,41,38.5,39.83,"190,470",39.83,463,"7,598,409.75",-2.88,-6.74
2014-05-20,39.2,43.1,38.7,42.71,"497,015",42.71,817,"20,664,991.50",1.54,3.74
2014-05-19,38.7,41.2,38.7,41.17,"317,681",41.17,496,"12,680,557.75",3.34,8.83
2014-05-18,36,37.8,35.8,37.83,"188,935",37.83,348,"6,900,283.25",3,8.61
2014-05-15,38.7,39.2,34.8,34.83,"90,577",34.83,248,"3,419,754.25",-2.5,-6.7
