Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value
2013-12-19,8440.53,8510.18,8440.53,8509.68,243489392,8509.68,121929,6773494173
2013-12-18,8412.32,8451.68,8408.87,8440.53,217168429,8440.53,119163,6212756911
2013-12-17,8385.08,8412.32,8377.11,8412.32,249961225,8412.32,124161,6705280920
2013-12-16,8396.96,8402.61,8369.91,8385.08,173505726,8385.08,96280,4906205812
2013-12-15,8387.61,8418.53,8387.18,8396.96,185305805,8396.96,86783,4862437370
2013-12-12,8399.65,8399.65,8351.15,8387.61,155106234,8387.61,77585,4290952114
2013-12-11,8399.39,8410.77,8376.43,8399.65,152005823,8399.65,77205,4443677138
2013-12-10,8359.55,8401.87,8358.75,8399.39,192413274,8399.39,83031,5232964565
2013-12-09,8321.33,8359.8,8319.38,8359.55,158413319,8359.55,75440,4404648879
2013-12-08,8243.74,8323.75,8243.74,8321.33,152221325,8321.33,72457,4067577207
2013-12-05,8231.13,8245.4,8211.63,8243.74,154764297,8243.74,72467,3859016613
2013-12-04,8229.19,8243.5,8187.89,8231.13,157302018,8231.13,82321,4045867837
2013-12-03,8334.31,8336.67,8212.9,8229.19,248503389,8229.19,99430,5652206734
2013-12-02,8301.15,8334.84,8286.27,8334.31,166810037,8334.31,78367,4218662553
2013-12-01,8325.28,8335.33,8288.54,8301.15,156703288,8301.15,76030,3888138442
2013-11-28,8300.65,8354.47,8300.65,8325.28,147536663,8325.28,73495,4036772196
2013-11-27,8298.46,8316.69,8273.11,8300.65,131211011,8300.65,66679,3660267594
2013-11-26,8346.69,8355.83,8285.61,8298.46,168009538,8298.46,75012,5019626872
2013-11-25,8388.17,8395.31,8339.88,8346.69,156420529,8346.69,72731,4142394737
2013-11-24,8337.78,8388.64,8337.78,8388.17,168306983,8388.17,70922,4478896153
2013-11-21,8337.32,8345.04,8315.01,8337.78,159465730,8337.78,73096,4106030619
2013-11-20,8359.59,8359.71,8332.48,8337.32,125137440,8337.32,67560,3610630893
2013-11-19,8407.88,8408.07,8344.73,8359.59,167101419,8359.59,82222,4547173664
2013-11-18,8383.77,8425.49,8374.69,8407.88,192053697,8407.88,77522,5143238308
2013-11-17,8317.16,8411.29,8314.25,8383.77,199759631,8383.77,84385,6002630125
2013-11-14,8297.79,8319.34,8288.98,8317.16,163761985,8317.16,74477,4590740863
2013-11-13,8329.48,8351.14,8284.43,8297.79,174589729,8297.79,78887,4959440289
2013-11-12,8271.14,8350.51,8263.84,8329.48,229456504,8329.48,92056,6162229276
2013-11-11,8248.16,8274.25,8226.73,8271.14,163912507,8271.14,81556,4688750185
2013-11-10,8262.79,8275.06,8233.7,8248.16,198854426,8248.16,82162,5316981315
2013-11-07,8188.46,8262.88,8185.48,8262.79,216541150,8262.79,88593,5824158168
2013-11-06,8170.73,8192.09,8160.41,8188.46,151555090,8188.46,77472,4149031492
2013-11-05,8073.97,8171.4,8062.68,8170.73,196204659,8170.73,87698,5457519461
2013-11-04,8060.16,8077.76,8053.38,8073.97,144254794,8073.97,71912,4615760769
2013-11-03,8044.47,8098.81,8044.17,8060.16,175532812,8060.16,79938,4399411263
2013-10-31,8005.49,8055.9,7974.03,8044.47,171128897,8044.47,78640,4523878664
