Date,Open,High,Low,Close,Volume,Num_deals,Value
2013-12-19,8440.53,8510.18,8440.53,8509.68,243489392,121929,6773494172.80
2013-12-18,8412.32,8451.68,8408.87,8440.53,217168429,119163,6212756910.55
2013-12-17,8385.08,8412.32,8377.11,8412.32,249961225,124161,6705280920.35
2013-12-16,8396.96,8402.61,8369.91,8385.08,173505726,96280,4906205812.30
2013-12-15,8387.61,8418.53,8387.18,8396.96,185305805,86783,4862437370.00
2013-12-12,8399.65,8399.65,8351.15,8387.61,155106234,77585,4290952114.35
2013-12-11,8399.39,8410.77,8376.43,8399.65,152005823,77205,4443677137.55
2013-12-10,8359.55,8401.87,8358.75,8399.39,192413274,83031,5232964565.20
2013-12-09,8321.33,8359.80,8319.38,8359.55,158413319,75440,4404648878.70
2013-12-08,8243.74,8323.75,8243.74,8321.33,152221325,72457,4067577206.65
2013-12-05,8231.13,8245.40,8211.63,8243.74,154764297,72467,3859016612.55
2013-12-04,8229.19,8243.50,8187.89,8231.13,157302018,82321,4045867836.80
2013-12-03,8334.31,8336.67,8212.90,8229.19,248503389,99430,5652206734.40
2013-12-02,8301.15,8334.84,8286.27,8334.31,166810037,78367,4218662552.85
2013-12-01,8325.28,8335.33,8288.54,8301.15,156703288,76030,3888138442.05
2013-11-28,8300.65,8354.47,8300.65,8325.28,147536663,73495,4036772195.95
2013-11-27,8298.46,8316.69,8273.11,8300.65,131211011,66679,3660267594.40
2013-11-26,8346.69,8355.83,8285.61,8298.46,168009538,75012,5019626872.45
2013-11-25,8388.17,8395.31,8339.88,8346.69,156420529,72731,4142394736.90
2013-09-17,8070.59,8070.59,8010.78,8030.58,259220717,120590,6411371640.25
2013-09-16,8034.20,8070.59,8022.62,8070.59,254153275,123190,6606893756.15
2013-09-15,7893.67,8035.44,7893.67,8034.20,326766645,139975,8120414569.80
2013-09-12,7855.19,7903.28,7845.81,7893.67,245906018,114193,5836245665.45
2013-09-11,7864.56,7893.25,7837.05,7855.19,278889570,125859,6558276530.00
2013-09-10,7643.13,7875.54,7643.13,7864.56,419445567,141988,8813354965.20
2013-09-09,7635.66,7645.11,7569.18,7643.13,186529172,92055,4306253779.05
2013-09-08,7634.30,7732.96,7626.95,7635.66,162659760,88835,4008984992.30
2013-09-05,7662.96,7697.72,7554.75,7634.30,208985852,116276,5168139954.95
2013-09-04,7831.76,7831.76,7648.44,7662.96,220032203,128358,5944619553.50
2013-09-03,7933.95,8003.69,7823.03,7831.76,272980304,145351,7789106033.80
2013-06-17,7330.48,7463.55,7330.48,7463.37,298285433,130215,6530379394.15
2013-06-16,7294.38,7361.96,7268.38,7330.48,342032404,149400,7166546374.15
2013-06-15,7623.89,7623.89,7245.08,7294.38,469529942,191008,9668508522.40
2013-06-12,7583.28,7627.54,7570.69,7623.89,256499386,111556,5506726139.45
2013-06-11,7635.75,7639.23,7576.85,7583.28,252706200,116735,5708220846.45
2013-06-10,7642.24,7658.72,7626.11,7635.75,310201109,125810,6377959378.65
2013-06-09,7645.65,7648.15,7611.86,7642.24,262328242,113087,5776153222.70
2013-06-08,7613.35,7683.13,7613.35,7645.65,260478726,121168,6155419711.20
2013-06-05,7576.63,7615.82,7542.35,7613.35,250891505,113325,5981022937.55
2013-06-04,7557.24,7620.52,7556.43,7576.63,417156993,155035,8532692271.50
2013-06-03,7472.14,7571.63,7465.63,7557.24,404901421,148054,8506241296.10
2013-11-24,8337.78,8388.64,8337.78,8388.17,168306983,70922,4478896152.60
2013-11-21,8337.32,8345.04,8315.01,8337.78,159465730,73096,4106030618.50
2013-11-20,8359.59,8359.71,8332.48,8337.32,125137440,67560,3610630892.95
2013-11-19,8407.88,8408.07,8344.73,8359.59,167101419,82222,4547173663.50
2013-11-18,8383.77,8425.49,8374.69,8407.88,192053697,77522,5143238307.50
2013-11-17,8317.16,8411.29,8314.25,8383.77,199759631,84385,6002630125.20
2013-11-14,8297.79,8319.34,8288.98,8317.16,163761985,74477,4590740862.90
2013-11-13,8329.48,8351.14,8284.43,8297.79,174589729,78887,4959440288.65
2013-11-12,8271.14,8350.51,8263.84,8329.48,229456504,92056,6162229276.35
2013-11-11,8248.16,8274.25,8226.73,8271.14,163912507,81556,4688750184.65
2013-11-10,8262.79,8275.06,8233.70,8248.16,198854426,82162,5316981315.30
2013-09-02,7878.74,7936.60,7846.76,7933.95,212422142,111424,5891998483.90
2013-09-01,7766.52,7879.33,7766.52,7878.74,233103435,102519,5455588076.85
2013-08-29,7751.32,7843.23,7741.34,7766.52,229201452,116740,5439729511.20
2013-08-28,7722.70,7766.87,7560.14,7751.32,346560836,165256,8054178151.90
2013-08-27,8054.65,8054.65,7697.85,7722.70,378818502,167120,8492031242.50
2013-08-26,8129.87,8129.87,8010.93,8054.65,227772283,137534,6009479259.25
2013-08-25,8192.39,8201.41,8125.34,8129.87,209809661,152661,6413206899.85
2013-08-22,8214.85,8215.93,8183.23,8192.39,164357148,100278,4679460906.30
2013-08-21,8179.90,8223.09,8172.62,8214.85,221064426,104308,5582384285.75
2013-08-20,8203.20,8220.25,8163.81,8179.90,220131324,111508,6038394423.80
2013-08-19,8156.77,8213.46,8104.91,8203.20,217793126,117744,5817080475.00
2013-06-02,7435.19,7477.12,7435.06,7472.14,337003200,131620,7062761249.25
2013-06-01,7404.12,7435.19,7353.38,7435.19,250035195,112232,5423873114.30
2013-05-29,7378.00,7419.94,7378.00,7404.12,254438065,124152,6085391405.20
2013-05-28,7326.93,7379.39,7323.24,7378.00,216273794,113040,5497530430.35
2013-05-27,7319.82,7331.07,7303.00,7326.93,181746893,109121,4700315281.90
2013-05-26,7333.83,7340.71,7311.78,7319.82,228311007,117752,5821023461.10
2013-05-25,7363.13,7363.13,7298.98,7333.83,233531339,115930,5279583326.55
2013-05-22,7355.27,7374.28,7345.42,7363.13,247046731,120789,5560284673.90
2013-05-21,7307.36,7362.86,7302.98,7355.27,250736280,123761,5840422391.80
2013-05-20,7300.34,7342.63,7291.64,7307.36,362830599,143885,7186212466.55
2013-05-19,7229.02,7312.59,7222.45,7300.34,429738370,159639,8359765695.70
2013-05-18,7147.42,7229.70,7147.04,7229.02,390348225,151043,7442795783.80
2013-07-30,7793.98,7864.39,7778.63,7863.83,290267919,92683,5782846683.65
2013-07-29,7763.14,7793.98,7748.99,7793.98,185211050,79318,4423844459.30
2013-07-28,7770.45,7781.45,7751.10,7763.14,187130724,84933,4489132734.70
2013-07-25,7774.51,7780.04,7753.86,7770.45,180485145,90692,4600199538.25
2013-07-24,7800.92,7812.84,7758.17,7774.51,189251516,98619,4887395109.50
2013-07-23,7806.03,7825.69,7788.76,7800.92,209148494,106100,5487624101.80
2013-07-22,7740.46,7810.04,7735.70,7806.03,206564716,93012,5211452949.80
2013-07-21,7667.07,7740.51,7615.67,7740.46,185792316,92384,4617876962.90
2013-08-18,8131.16,8175.05,8113.68,8156.77,232091803,105162,5654883030.40
2013-08-15,8085.50,8133.31,8076.90,8131.16,190746816,92656,4818205054.60
2013-08-14,8114.75,8115.07,8063.54,8085.50,199021437,83903,4482822240.15
2013-08-13,8072.30,8138.15,8069.89,8114.75,224299138,83525,5144665741.60
2013-08-05,7972.11,8084.57,7966.62,8072.30,283314855,106223,6378256352.15
2013-08-04,7910.66,7978.27,7909.04,7972.11,238450981,91344,5079558082.95
2013-08-01,7915.11,7921.99,7888.13,7910.66,266899296,102382,5385144671.25
2013-07-31,7863.83,7916.95,7853.51,7915.11,284523314,106530,6122062449.70
2013-05-15,7139.30,7147.62,7085.31,7147.42,226039724,140854,6003755534.35
2013-05-14,7158.75,7179.46,7123.19,7139.30,181766466,127202,5045838643.30
2013-05-13,7195.17,7195.17,7122.87,7158.75,199721878,139354,5740345318.80
2013-05-12,7220.42,7226.47,7184.63,7195.17,139391493,102925,4442193756.25
2013-05-11,7206.27,7234.57,7206.27,7220.42,147326473,96612,4251066866.15
2013-05-08,7182.48,7217.45,7182.48,7206.27,128970848,94047,3973168088.05
2013-05-07,7189.13,7192.13,7169.81,7182.48,136674894,105806,4398635216.65
2013-07-18,7699.25,7699.25,7655.66,7667.07,181079159,85420,4449523885.25
2013-07-17,7703.25,7703.25,7641.21,7699.25,167365329,79361,4769935217.65
2013-07-16,7699.02,7703.76,7676.48,7703.25,152922665,71283,3949850584.55
2013-07-15,7744.16,7744.16,7668.24,7699.02,119324063,74354,3909152425.05
2013-07-14,7690.38,7744.16,7690.38,7744.16,162997066,79795,4356233734.55
2013-07-11,7706.01,7707.93,7662.35,7690.38,125695306,72348,3386563351.95
2013-07-10,7708.52,7713.72,7691.30,7706.01,106014350,64512,3008465503.45
2013-07-09,7695.25,7723.46,7691.31,7708.52,137489175,87652,3866284814.40
2013-07-08,7717.26,7725.69,7684.35,7695.25,167408029,93723,4438664412.35
2013-07-07,7668.58,7728.39,7665.95,7717.26,175628589,99477,4777425654.80
2013-07-04,7586.31,7671.78,7586.31,7668.58,159276738,102195,5126813670.35
2013-07-03,7620.83,7636.92,7579.22,7586.31,160332186,101723,4758691884.85
2013-07-02,7567.43,7638.70,7549.56,7620.83,176411159,101223,5088642768.35
2013-07-01,7496.57,7568.92,7492.94,7567.43,185163962,104667,4925501151.95
2013-06-30,7504.38,7511.17,7465.90,7496.57,157930382,104457,4315364570.15
2013-06-26,7517.36,7535.76,7494.35,7504.38,187467780,108752,4746559467.70
2013-06-25,7500.69,7527.57,7489.36,7517.36,208959741,107569,5163563919.40
2013-06-24,7561.50,7561.79,7486.36,7500.69,218530257,122928,5535513378.45
2013-02-11,7012.17,7031.48,7003.84,7030.78,218028882,139321,5587321635.40
2013-02-10,6996.72,7013.16,6994.80,7012.17,218233390,149904,5709422445.80
