volume,opening,company,num_deals,value,high,low,change_per,date,close,change
"2,049,019",28.80,1010,259,"59,270,228.30",29.30,28.60,1.39,2013/12/19,29.10,0.40
"719,915",28.80,1010,118,"20,679,337.20",28.80,28.60,0.00,2013/12/18,28.70,0.00
"593,312",28.70,1010,108,"17,025,905.10",28.80,28.60,0.35,2013/12/17,28.70,0.10
"765,946",28.80,1010,110,"21,947,110.00",28.80,28.50,-0.69,2013/12/16,28.60,-0.20
"638,836",28.80,1010,143,"18,421,162.10",29.00,28.70,0.35,2013/12/15,28.80,0.10
"2,767,945",28.80,1010,102,"79,666,157.30",28.80,28.60,-0.35,2013/12/12,28.70,-0.10
"876,579",28.60,1010,115,"25,229,146.60",28.90,28.50,0.35,2013/12/11,28.80,0.10
"534,916",28.40,1010,95,"15,312,242.20",28.70,28.40,0.70,2013/12/10,28.70,0.20
"62,961",28.40,1010,57,"1,789,763.00",28.50,28.30,0.00,2013/12/09,28.50,0.00
"251,944",28.40,1010,124,"7,205,574.80",29.00,28.40,1.42,2013/12/08,28.50,0.40
"1,778,064",28.10,1010,322,"49,292,709.90",28.10,27.00,0.36,2013/12/05,28.10,0.10
"616,057",28.10,1010,175,"17,326,283.10",28.70,28.00,-0.71,2013/12/04,28.00,-0.20
"501,011",28.30,1010,87,"14,204,653.20",28.40,28.20,-0.70,2013/12/03,28.20,-0.20
"613,724",28.60,1010,141,"17,403,498.30",28.60,28.20,-0.70,2013/12/02,28.40,-0.20
"116,251",28.60,1010,58,"3,319,371.20",28.60,28.50,0.00,2013/12/01,28.60,0.00
"756,796",28.60,1010,58,"21,645,175.50",28.70,28.50,0.00,2013/11/28,28.60,0.00
"223,508",28.60,1010,57,"6,384,754.70",28.60,28.50,0.00,2013/11/27,28.60,0.00
"356,302",28.80,1010,83,"10,199,997.10",28.80,28.50,0.00,2013/11/26,28.60,0.00
"411,546",28.70,1010,51,"11,820,115.40",28.80,28.60,-0.35,2013/11/25,28.60,-0.10
"303,449",28.70,1010,79,"8,703,811.00",28.70,28.60,0.00,2013/11/24,28.70,0.00
"236,773",28.60,1010,73,"6,771,212.00",28.70,28.50,0.00,2013/11/21,28.70,0.00
"458,039",28.70,1010,102,"13,129,939.00",28.70,28.50,0.00,2013/11/20,28.70,0.00
"656,828",28.60,1010,115,"18,849,833.60",28.80,28.60,0.35,2013/11/19,28.70,0.10
"490,549",28.60,1010,97,"14,040,683.60",28.70,28.50,-0.35,2013/11/18,28.60,-0.10
"492,606",28.60,1010,117,"14,121,319.50",28.80,28.60,0.35,2013/11/17,28.70,0.10
"464,901",28.40,1010,87,"13,271,850.00",28.70,28.40,0.35,2013/11/14,28.60,0.10
"243,498",28.50,1010,61,"6,940,615.10",28.60,28.40,-0.35,2013/11/13,28.50,-0.10
"567,971",28.50,1010,107,"16,235,197.80",28.70,28.40,0.35,2013/11/12,28.60,0.10
"349,103",28.50,1010,69,"9,978,168.90",28.70,28.50,-0.35,2013/11/11,28.50,-0.10
"94,671",28.50,1010,58,"2,703,884.90",28.70,28.50,0.00,2013/11/10,28.60,0.00
