volume,opening,company,num_deals,value,high,low,change_per,date,close,change
"3,947,151",29.90,1020,"1,383","120,064,315.80",31.50,29.40,5.37,2013/07/30,31.40,1.60
"763,344",29.70,1020,341,"22,583,596.60",29.80,29.40,0.34,2013/07/29,29.80,0.10
"759,490",29.80,1020,411,"22,587,104.60",30.00,29.50,-0.67,2013/07/28,29.70,-0.20
"1,758,459",30.20,1020,729,"52,469,873.80",30.20,29.50,-0.99,2013/07/25,29.90,-0.30
"2,841,794",29.30,1020,"1,148","85,189,816.90",30.30,29.00,3.07,2013/07/24,30.20,0.90
"583,006",29.50,1020,366,"17,028,766.00",29.50,29.00,-0.68,2013/07/23,29.30,-0.20
"803,032",29.20,1020,411,"23,563,691.50",29.50,29.10,1.03,2013/07/22,29.50,0.30
"755,014",28.60,1020,467,"22,048,356.40",29.50,28.50,2.10,2013/07/21,29.20,0.60
"755,629",29.10,1020,524,"21,835,305.40",29.20,28.50,-2.05,2013/07/18,28.60,-0.60
"2,173,666",28.30,1020,800,"62,559,778.00",29.20,28.30,2.46,2013/07/17,29.20,0.70
"757,983",27.90,1020,324,"21,315,589.10",28.50,27.90,1.79,2013/07/16,28.50,0.50
"719,652",27.70,1020,292,"20,063,897.00",28.00,27.60,0.72,2013/07/15,28.00,0.20
"540,074",27.90,1020,325,"15,001,272.30",28.00,27.50,0.36,2013/07/14,27.80,0.10
"251,802",27.40,1020,157,"6,920,686.30",27.70,27.30,0.73,2013/07/11,27.70,0.20
"396,180",27.70,1020,203,"10,911,559.60",27.80,27.30,-1.08,2013/07/10,27.50,-0.30
"327,319",28.00,1020,226,"9,095,041.60",28.00,27.60,-0.36,2013/07/09,27.80,-0.10
"600,844",28.20,1020,417,"16,727,257.60",28.20,27.50,-1.41,2013/07/08,27.90,-0.40
"764,287",27.70,1020,461,"21,416,946.40",28.30,27.60,2.17,2013/07/07,28.30,0.60
"1,289,103",27.10,1020,600,"35,537,561.10",27.90,27.10,2.97,2013/07/04,27.70,0.80
"594,818",27.20,1020,281,"16,139,968.40",27.50,26.80,-1.47,2013/07/03,26.90,-0.40
"1,213,460",26.90,1020,489,"33,040,393.00",27.50,26.90,1.87,2013/07/02,27.30,0.50
"804,027",26.10,1020,385,"21,345,812.00",26.90,26.10,2.68,2013/07/01,26.80,0.70
"413,827",26.00,1020,223,"10,795,746.40",26.20,25.90,0.00,2013/06/30,26.10,0.00
"597,893",26.40,1020,246,"15,679,791.10",26.40,26.00,-1.14,2013/06/26,26.10,-0.30
"468,318",26.30,1020,259,"12,332,655.20",26.50,26.20,0.38,2013/06/25,26.40,0.10
"1,209,594",26.60,1020,667,"31,692,970.30",26.60,26.00,-1.13,2013/06/24,26.30,-0.30
"1,228,105",26.70,1020,558,"32,527,126.70",26.80,26.30,-0.37,2013/06/23,26.60,-0.10
"573,248",26.20,1020,299,"15,188,861.70",26.70,26.20,0.00,2013/06/22,26.70,0.00
"477,392",27.10,1020,330,"12,756,334.40",27.10,26.60,-1.11,2013/06/19,26.70,-0.30
"422,809",26.90,1020,228,"11,427,457.50",27.20,26.90,0.75,2013/06/18,27.00,0.20
"1,081,395",26.50,1020,438,"28,992,466.10",27.00,26.50,1.52,2013/06/17,26.80,0.40
"758,814",26.70,1020,335,"20,282,376.60",27.20,26.40,-1.49,2013/06/16,26.40,-0.40
"1,597,631",27.00,1020,640,"43,384,487.40",27.60,26.70,-4.96,2013/06/15,26.80,-1.40
"634,205",27.70,1020,231,"17,738,100.20",28.30,27.60,1.44,2013/06/12,28.20,0.40
