volume,opening,company,num_deals,value,high,low,change_per,date,close,change
"139,479",28.60,1010,77,"3,974,886.70",28.60,28.40,0.35,2013/11/07,28.60,0.10
"210,850",28.80,1010,76,"6,037,026.00",28.80,28.50,-0.35,2013/11/06,28.50,-0.10
"578,110",28.20,1010,115,"16,468,575.50",28.80,28.20,1.06,2013/11/05,28.60,0.30
"986,693",28.10,1010,143,"27,746,150.90",28.30,28.00,0.71,2013/11/04,28.30,0.20
"512,014",28.20,1010,158,"14,371,936.60",28.20,27.80,-0.35,2013/11/03,28.10,-0.10
"344,226",28.10,1010,46,"9,470,493.90",28.40,28.10,0.00,2013/10/31,28.20,0.00
"1,106,956",28.20,1010,292,"31,309,272.90",28.50,28.20,-0.35,2013/10/30,28.20,-0.10
"209,691",28.50,1010,102,"5,900,007.80",28.50,28.00,-1.05,2013/10/29,28.30,-0.30
"379,431",28.40,1010,85,"10,792,900.80",28.60,28.40,0.00,2013/10/28,28.60,0.00
"134,849",28.50,1010,56,"3,838,732.90",28.60,28.40,0.00,2013/10/27,28.60,0.00
"396,535",28.30,1010,100,"11,259,383.90",28.70,28.10,0.35,2013/10/24,28.60,0.10
"1,762,350",28.60,1010,192,"50,342,132.00",28.60,28.40,-1.04,2013/10/23,28.50,-0.30
"425,662",28.50,1010,171,"12,179,520.70",28.80,28.40,1.41,2013/10/22,28.80,0.40
"335,327",28.20,1010,114,"9,484,389.40",28.50,28.10,0.71,2013/10/21,28.40,0.20
"471,465",27.70,1010,147,"13,328,694.60",28.50,27.70,1.81,2013/10/20,28.20,0.50
"255,513",27.50,1010,124,"7,078,936.10",27.80,27.50,0.73,2013/10/10,27.70,0.20
"767,222",26.80,1010,232,"20,926,770.20",27.60,26.80,1.85,2013/10/09,27.50,0.50
"615,619",26.80,1010,161,"16,570,230.70",27.00,26.80,1.12,2013/10/08,27.00,0.30
"758,533",26.50,1010,286,"20,216,962.10",27.00,26.40,2.30,2013/10/07,26.70,0.60
"252,865",26.40,1010,101,"6,582,920.60",26.40,25.60,-1.14,2013/10/06,26.10,-0.30
"198,161",26.40,1010,81,"5,228,617.20",26.50,26.30,0.00,2013/10/03,26.40,0.00
"116,713",26.30,1010,41,"3,075,772.50",26.50,26.30,0.38,2013/10/02,26.40,0.10
"113,014",26.40,1010,52,"2,980,115.60",26.40,26.30,0.00,2013/10/01,26.30,0.00
"263,529",26.20,1010,79,"6,929,091.60",26.40,26.20,0.38,2013/09/30,26.30,0.10
"81,127",26.20,1010,46,"2,120,558.50",26.20,26.10,0.38,2013/09/29,26.20,0.10
"753,770",26.20,1010,115,"19,670,830.60",26.20,26.00,0.00,2013/09/26,26.10,0.00
"145,894",23.45,1010,82,"3,436,107.90",23.65,23.30,0.64,2013/02/11,23.60,0.15
"36,473",23.50,1010,33,"854,743.25",23.50,23.40,0.00,2013/02/10,23.45,0.00
"174,440",23.40,1010,81,"4,089,286.25",23.55,23.40,-0.64,2013/02/09,23.45,-0.15
"435,180",23.25,1010,184,"10,159,479.25",23.60,23.15,1.51,2013/02/06,23.60,0.35
"392,458",23.10,1010,95,"9,098,434.10",23.25,23.05,0.22,2013/02/05,23.25,0.05
