volume,opening,company,num_deals,value,high,low,change_per,date,close,change
"243,489,392","8,440.53",main_index,"121,929","6,773,494,172.80","8,510.18","8,440.53",,2013/12/19,"8,509.68",
"217,168,429","8,412.32",main_index,"119,163","6,212,756,910.55","8,451.68","8,408.87",,2013/12/18,"8,440.53",
"249,961,225","8,385.08",main_index,"124,161","6,705,280,920.35","8,412.32","8,377.11",,2013/12/17,"8,412.32",
"173,505,726","8,396.96",main_index,"96,280","4,906,205,812.30","8,402.61","8,369.91",,2013/12/16,"8,385.08",
"185,305,805","8,387.61",main_index,"86,783","4,862,437,370.00","8,418.53","8,387.18",,2013/12/15,"8,396.96",
"155,106,234","8,399.65",main_index,"77,585","4,290,952,114.35","8,399.65","8,351.15",,2013/12/12,"8,387.61",
"152,005,823","8,399.39",main_index,"77,205","4,443,677,137.55","8,410.77","8,376.43",,2013/12/11,"8,399.65",
"192,413,274","8,359.55",main_index,"83,031","5,232,964,565.20","8,401.87","8,358.75",,2013/12/10,"8,399.39",
"158,413,319","8,321.33",main_index,"75,440","4,404,648,878.70","8,359.80","8,319.38",,2013/12/09,"8,359.55",
"152,221,325","8,243.74",main_index,"72,457","4,067,577,206.65","8,323.75","8,243.74",,2013/12/08,"8,321.33",
"154,764,297","8,231.13",main_index,"72,467","3,859,016,612.55","8,245.40","8,211.63",,2013/12/05,"8,243.74",
"157,302,018","8,229.19",main_index,"82,321","4,045,867,836.80","8,243.50","8,187.89",,2013/12/04,"8,231.13",
"248,503,389","8,334.31",main_index,"99,430","5,652,206,734.40","8,336.67","8,212.90",,2013/12/03,"8,229.19",
"166,810,037","8,301.15",main_index,"78,367","4,218,662,552.85","8,334.84","8,286.27",,2013/12/02,"8,334.31",
"156,703,288","8,325.28",main_index,"76,030","3,888,138,442.05","8,335.33","8,288.54",,2013/12/01,"8,301.15",
"147,536,663","8,300.65",main_index,"73,495","4,036,772,195.95","8,354.47","8,300.65",,2013/11/28,"8,325.28",
"131,211,011","8,298.46",main_index,"66,679","3,660,267,594.40","8,316.69","8,273.11",,2013/11/27,"8,300.65",
"168,009,538","8,346.69",main_index,"75,012","5,019,626,872.45","8,355.83","8,285.61",,2013/11/26,"8,298.46",
"156,420,529","8,388.17",main_index,"72,731","4,142,394,736.90","8,395.31","8,339.88",,2013/11/25,"8,346.69",
"259,220,717","8,070.59",main_index,"120,590","6,411,371,640.25","8,070.59","8,010.78",,2013/09/17,"8,030.58",
"254,153,275","8,034.20",main_index,"123,190","6,606,893,756.15","8,070.59","8,022.62",,2013/09/16,"8,070.59",
"326,766,645","7,893.67",main_index,"139,975","8,120,414,569.80","8,035.44","7,893.67",,2013/09/15,"8,034.20",
"245,906,018","7,855.19",main_index,"114,193","5,836,245,665.45","7,903.28","7,845.81",,2013/09/12,"7,893.67",
"278,889,570","7,864.56",main_index,"125,859","6,558,276,530.00","7,893.25","7,837.05",,2013/09/11,"7,855.19",
"419,445,567","7,643.13",main_index,"141,988","8,813,354,965.20","7,875.54","7,643.13",,2013/09/10,"7,864.56",
"186,529,172","7,635.66",main_index,"92,055","4,306,253,779.05","7,645.11","7,569.18",,2013/09/09,"7,643.13",
"162,659,760","7,634.30",main_index,"88,835","4,008,984,992.30","7,732.96","7,626.95",,2013/09/08,"7,635.66",
"208,985,852","7,662.96",main_index,"116,276","5,168,139,954.95","7,697.72","7,554.75",,2013/09/05,"7,634.30",
"220,032,203","7,831.76",main_index,"128,358","5,944,619,553.50","7,831.76","7,648.44",,2013/09/04,"7,662.96",
"272,980,304","7,933.95",main_index,"145,351","7,789,106,033.80","8,003.69","7,823.03",,2013/09/03,"7,831.76",
"298,285,433","7,330.48",main_index,"130,215","6,530,379,394.15","7,463.55","7,330.48",,2013/06/17,"7,463.37",
"342,032,404","7,294.38",main_index,"149,400","7,166,546,374.15","7,361.96","7,268.38",,2013/06/16,"7,330.48",
"469,529,942","7,623.89",main_index,"191,008","9,668,508,522.40","7,623.89","7,245.08",,2013/06/15,"7,294.38",
"256,499,386","7,583.28",main_index,"111,556","5,506,726,139.45","7,627.54","7,570.69",,2013/06/12,"7,623.89",
"252,706,200","7,635.75",main_index,"116,735","5,708,220,846.45","7,639.23","7,576.85",,2013/06/11,"7,583.28",
"310,201,109","7,642.24",main_index,"125,810","6,377,959,378.65","7,658.72","7,626.11",,2013/06/10,"7,635.75",
"262,328,242","7,645.65",main_index,"113,087","5,776,153,222.70","7,648.15","7,611.86",,2013/06/09,"7,642.24",
"260,478,726","7,613.35",main_index,"121,168","6,155,419,711.20","7,683.13","7,613.35",,2013/06/08,"7,645.65",
"250,891,505","7,576.63",main_index,"113,325","5,981,022,937.55","7,615.82","7,542.35",,2013/06/05,"7,613.35",
"417,156,993","7,557.24",main_index,"155,035","8,532,692,271.50","7,620.52","7,556.43",,2013/06/04,"7,576.63",
"404,901,421","7,472.14",main_index,"148,054","8,506,241,296.10","7,571.63","7,465.63",,2013/06/03,"7,557.24",
"168,306,983","8,337.78",main_index,"70,922","4,478,896,152.60","8,388.64","8,337.78",,2013/11/24,"8,388.17",
"159,465,730","8,337.32",main_index,"73,096","4,106,030,618.50","8,345.04","8,315.01",,2013/11/21,"8,337.78",
"125,137,440","8,359.59",main_index,"67,560","3,610,630,892.95","8,359.71","8,332.48",,2013/11/20,"8,337.32",
"167,101,419","8,407.88",main_index,"82,222","4,547,173,663.50","8,408.07","8,344.73",,2013/11/19,"8,359.59",
"192,053,697","8,383.77",main_index,"77,522","5,143,238,307.50","8,425.49","8,374.69",,2013/11/18,"8,407.88",
"199,759,631","8,317.16",main_index,"84,385","6,002,630,125.20","8,411.29","8,314.25",,2013/11/17,"8,383.77",
"163,761,985","8,297.79",main_index,"74,477","4,590,740,862.90","8,319.34","8,288.98",,2013/11/14,"8,317.16",
"174,589,729","8,329.48",main_index,"78,887","4,959,440,288.65","8,351.14","8,284.43",,2013/11/13,"8,297.79",
"229,456,504","8,271.14",main_index,"92,056","6,162,229,276.35","8,350.51","8,263.84",,2013/11/12,"8,329.48",
"163,912,507","8,248.16",main_index,"81,556","4,688,750,184.65","8,274.25","8,226.73",,2013/11/11,"8,271.14",
"198,854,426","8,262.79",main_index,"82,162","5,316,981,315.30","8,275.06","8,233.70",,2013/11/10,"8,248.16",
"212,422,142","7,878.74",main_index,"111,424","5,891,998,483.90","7,936.60","7,846.76",,2013/09/02,"7,933.95",
"233,103,435","7,766.52",main_index,"102,519","5,455,588,076.85","7,879.33","7,766.52",,2013/09/01,"7,878.74",
"229,201,452","7,751.32",main_index,"116,740","5,439,729,511.20","7,843.23","7,741.34",,2013/08/29,"7,766.52",
"346,560,836","7,722.70",main_index,"165,256","8,054,178,151.90","7,766.87","7,560.14",,2013/08/28,"7,751.32",
"378,818,502","8,054.65",main_index,"167,120","8,492,031,242.50","8,054.65","7,697.85",,2013/08/27,"7,722.70",
"227,772,283","8,129.87",main_index,"137,534","6,009,479,259.25","8,129.87","8,010.93",,2013/08/26,"8,054.65",
"209,809,661","8,192.39",main_index,"152,661","6,413,206,899.85","8,201.41","8,125.34",,2013/08/25,"8,129.87",
"164,357,148","8,214.85",main_index,"100,278","4,679,460,906.30","8,215.93","8,183.23",,2013/08/22,"8,192.39",
"221,064,426","8,179.90",main_index,"104,308","5,582,384,285.75","8,223.09","8,172.62",,2013/08/21,"8,214.85",
"220,131,324","8,203.20",main_index,"111,508","6,038,394,423.80","8,220.25","8,163.81",,2013/08/20,"8,179.90",
"217,793,126","8,156.77",main_index,"117,744","5,817,080,475.00","8,213.46","8,104.91",,2013/08/19,"8,203.20",
"337,003,200","7,435.19",main_index,"131,620","7,062,761,249.25","7,477.12","7,435.06",,2013/06/02,"7,472.14",
"250,035,195","7,404.12",main_index,"112,232","5,423,873,114.30","7,435.19","7,353.38",,2013/06/01,"7,435.19",
"254,438,065","7,378.00",main_index,"124,152","6,085,391,405.20","7,419.94","7,378.00",,2013/05/29,"7,404.12",
"216,273,794","7,326.93",main_index,"113,040","5,497,530,430.35","7,379.39","7,323.24",,2013/05/28,"7,378.00",
"181,746,893","7,319.82",main_index,"109,121","4,700,315,281.90","7,331.07","7,303.00",,2013/05/27,"7,326.93",
"228,311,007","7,333.83",main_index,"117,752","5,821,023,461.10","7,340.71","7,311.78",,2013/05/26,"7,319.82",
"233,531,339","7,363.13",main_index,"115,930","5,279,583,326.55","7,363.13","7,298.98",,2013/05/25,"7,333.83",
"247,046,731","7,355.27",main_index,"120,789","5,560,284,673.90","7,374.28","7,345.42",,2013/05/22,"7,363.13",
"250,736,280","7,307.36",main_index,"123,761","5,840,422,391.80","7,362.86","7,302.98",,2013/05/21,"7,355.27",
"362,830,599","7,300.34",main_index,"143,885","7,186,212,466.55","7,342.63","7,291.64",,2013/05/20,"7,307.36",
"429,738,370","7,229.02",main_index,"159,639","8,359,765,695.70","7,312.59","7,222.45",,2013/05/19,"7,300.34",
"390,348,225","7,147.42",main_index,"151,043","7,442,795,783.80","7,229.70","7,147.04",,2013/05/18,"7,229.02",
"290,267,919","7,793.98",main_index,"92,683","5,782,846,683.65","7,864.39","7,778.63",,2013/07/30,"7,863.83",
"185,211,050","7,763.14",main_index,"79,318","4,423,844,459.30","7,793.98","7,748.99",,2013/07/29,"7,793.98",
"187,130,724","7,770.45",main_index,"84,933","4,489,132,734.70","7,781.45","7,751.10",,2013/07/28,"7,763.14",
"180,485,145","7,774.51",main_index,"90,692","4,600,199,538.25","7,780.04","7,753.86",,2013/07/25,"7,770.45",
"189,251,516","7,800.92",main_index,"98,619","4,887,395,109.50","7,812.84","7,758.17",,2013/07/24,"7,774.51",
"209,148,494","7,806.03",main_index,"106,100","5,487,624,101.80","7,825.69","7,788.76",,2013/07/23,"7,800.92",
"206,564,716","7,740.46",main_index,"93,012","5,211,452,949.80","7,810.04","7,735.70",,2013/07/22,"7,806.03",
"185,792,316","7,667.07",main_index,"92,384","4,617,876,962.90","7,740.51","7,615.67",,2013/07/21,"7,740.46",
"232,091,803","8,131.16",main_index,"105,162","5,654,883,030.40","8,175.05","8,113.68",,2013/08/18,"8,156.77",
"190,746,816","8,085.50",main_index,"92,656","4,818,205,054.60","8,133.31","8,076.90",,2013/08/15,"8,131.16",
"199,021,437","8,114.75",main_index,"83,903","4,482,822,240.15","8,115.07","8,063.54",,2013/08/14,"8,085.50",
"224,299,138","8,072.30",main_index,"83,525","5,144,665,741.60","8,138.15","8,069.89",,2013/08/13,"8,114.75",
"283,314,855","7,972.11",main_index,"106,223","6,378,256,352.15","8,084.57","7,966.62",,2013/08/05,"8,072.30",
"238,450,981","7,910.66",main_index,"91,344","5,079,558,082.95","7,978.27","7,909.04",,2013/08/04,"7,972.11",
"266,899,296","7,915.11",main_index,"102,382","5,385,144,671.25","7,921.99","7,888.13",,2013/08/01,"7,910.66",
"284,523,314","7,863.83",main_index,"106,530","6,122,062,449.70","7,916.95","7,853.51",,2013/07/31,"7,915.11",
"226,039,724","7,139.30",main_index,"140,854","6,003,755,534.35","7,147.62","7,085.31",,2013/05/15,"7,147.42",
"181,766,466","7,158.75",main_index,"127,202","5,045,838,643.30","7,179.46","7,123.19",,2013/05/14,"7,139.30",
"199,721,878","7,195.17",main_index,"139,354","5,740,345,318.80","7,195.17","7,122.87",,2013/05/13,"7,158.75",
"139,391,493","7,220.42",main_index,"102,925","4,442,193,756.25","7,226.47","7,184.63",,2013/05/12,"7,195.17",
"147,326,473","7,206.27",main_index,"96,612","4,251,066,866.15","7,234.57","7,206.27",,2013/05/11,"7,220.42",
"128,970,848","7,182.48",main_index,"94,047","3,973,168,088.05","7,217.45","7,182.48",,2013/05/08,"7,206.27",
"136,674,894","7,189.13",main_index,"105,806","4,398,635,216.65","7,192.13","7,169.81",,2013/05/07,"7,182.48",
"181,079,159","7,699.25",main_index,"85,420","4,449,523,885.25","7,699.25","7,655.66",,2013/07/18,"7,667.07",
"167,365,329","7,703.25",main_index,"79,361","4,769,935,217.65","7,703.25","7,641.21",,2013/07/17,"7,699.25",
"152,922,665","7,699.02",main_index,"71,283","3,949,850,584.55","7,703.76","7,676.48",,2013/07/16,"7,703.25",
"119,324,063","7,744.16",main_index,"74,354","3,909,152,425.05","7,744.16","7,668.24",,2013/07/15,"7,699.02",
"162,997,066","7,690.38",main_index,"79,795","4,356,233,734.55","7,744.16","7,690.38",,2013/07/14,"7,744.16",
"125,695,306","7,706.01",main_index,"72,348","3,386,563,351.95","7,707.93","7,662.35",,2013/07/11,"7,690.38",
"106,014,350","7,708.52",main_index,"64,512","3,008,465,503.45","7,713.72","7,691.30",,2013/07/10,"7,706.01",
"137,489,175","7,695.25",main_index,"87,652","3,866,284,814.40","7,723.46","7,691.31",,2013/07/09,"7,708.52",
"167,408,029","7,717.26",main_index,"93,723","4,438,664,412.35","7,725.69","7,684.35",,2013/07/08,"7,695.25",
"175,628,589","7,668.58",main_index,"99,477","4,777,425,654.80","7,728.39","7,665.95",,2013/07/07,"7,717.26",
