volume,opening,company,num_deals,value,high,low,change_per,date,close,change
"4,105,402",15.70,4220,"1,371","63,167,690.95",15.80,15.05,-3.88,2014/06/22,15.12,-0.61
"838,100",53.75,8140,"1,273","43,977,678.00",54.25,50.00,-7.49,2014/06/22,50.65,-4.10
"107,568",26.20,1030,50,"2,807,492.30",26.20,26.00,0.23,2014/06/22,26.16,0.06
"279,003",27.80,1080,103,"7,787,484.20",28.10,27.80,0.43,2014/06/22,27.91,0.12
"1,059,683",43.90,8260,"1,260","46,753,756.00",44.70,43.50,1.12,2014/06/22,44.09,0.49
"113,668",49.30,1060,55,"5,581,124.40",49.40,48.90,-0.81,2014/06/22,49.00,-0.40
"223,475",31.50,1050,92,"7,099,165.30",32.00,31.50,1.33,2014/06/22,31.97,0.42
"32,333",42.00,1040,19,"1,360,500.60",42.30,42.00,0.71,2014/06/22,42.30,0.30
"1,159,187",32.20,8060,"1,138","37,007,883.10",32.30,31.20,-1.34,2014/06/22,31.63,-0.43
"251,793",32.40,2310,238,"8,188,925.60",32.70,32.30,-0.09,2014/06/22,32.41,-0.03
"715,225",41.20,8110,"1,431","28,167,812.10",41.50,38.00,-7.87,2014/06/22,38.27,-3.27
"170,798",36.60,1320,226,"6,204,583.30",36.60,35.60,-1.64,2014/06/22,36.00,-0.60
"954,172",41.20,2300,808,"39,095,325.50",41.80,39.80,-2.17,2014/06/22,40.18,-0.89
"696,732",28.70,4050,567,"19,688,622.80",28.70,27.50,-2.18,2014/06/22,27.85,-0.62
"148,435",101.50,2360,412,"14,831,572.75",101.50,98.25,-1.76,2014/06/22,98.74,-1.77
"2,029,715",12.20,8200,501,"24,831,299.15",12.40,12.10,0.00,2014/06/22,12.15,0.00
0,0.00,7050,0,0.00,0.00,0.00,0.00,2014/06/22,24.30,0.00
"671,384",61.75,4140,"1,203","40,339,153.50",62.25,58.00,-5.07,2014/06/22,58.56,-3.13
"1,308,957",17.45,2190,505,"22,919,781.05",17.65,17.35,0.63,2014/06/22,17.50,0.11
"543,006",45.20,2070,550,"24,840,410.60",46.10,45.20,1.58,2014/06/22,45.71,0.71
"637,880",21.10,2130,409,"13,370,954.40",21.20,20.55,-0.86,2014/06/22,20.78,-0.18
"1,944,250",41.10,6050,"2,210","77,795,013.80",41.40,38.80,-4.63,2014/06/22,39.15,-1.90
"2,662,345",115.50,2010,"2,493","306,974,816.25",116.00,114.75,-0.08,2014/06/22,115.00,-0.09
"723,795",26.60,2120,564,"18,918,225.60",26.60,25.10,-2.23,2014/06/22,25.92,-0.59
"319,288",25.60,4270,223,"8,201,758.90",26.00,25.00,-0.43,2014/06/22,25.32,-0.11
"651,752",39.30,4040,576,"25,328,780.40",39.40,38.40,-1.41,2014/06/22,38.42,-0.55
"895,495",38.80,4010,857,"35,047,354.40",39.50,38.40,0.57,2014/06/22,38.96,0.22
